标题,地点,工作概要,所需人才
ゲームデバッカー【未経験枠】,東京都渋谷区桜丘町1番1号渋谷サクラステージSHIBUYAタワー24階株式会社筧設備,仕事内容:◇--------------------------------◇◎未経験スタートの20代活躍中◎・完全週休2日制（土日・祝日）・年間休日120日以上！・自社独自の研修制度でエンジニアに！◇--------------------------------◇＼何もわからなくても大丈夫！ゼロから教えるゲーム業界/／【お仕事内容】入社後は自社独自の研修制度で研修を受けていただきます！その後、ITエンジニアとして、下記の業務をお任せします。・スマートフォンアプリの設計・開発・デバック業務・システムの立案・導入・改善など・Webサイトのコーディング（HTML/CSS）・サイト制作（PHP/JavaScript）・システムの開発（Java）・クラウドシステムの開発（AWS）★未経験でも安心できる独自の研修・教育制度★先輩エンジニアがメンターとなりイチから丁寧に教えます！自社独自で作成した実施可能なカリキュラムにより、必要なスキルを着実に身につけられます！未経験の若手がゼロから成長し、エンジニアとして活躍中！,求める人材:【求める条件】★学歴不問★★経験歓迎★★やる気さえあればご応募OK★お人柄重視の採用です！【面接は1回のみ！】〜先輩もこんな理由で入社しています〜◆手に職つけて働きたい◆将来はフリーランスで働きたい◆IT・Webの知識を身につけたい◆安定した業界でスキルを伸ばしたい
バグの発見と報告業務,千葉県千葉市中央区株式会社Valoo(勤務地:千葉県千葉市中央区の案件先),仕事内容【業務内容】￣V￣￣￣￣￣￣￣￣￣￣￣□ゲーム・アプリの不具合の発見・検証□バグの再現手順を調査・整理のサポート□専用ツールでのバグ報告・記録作成□チーム内での情報共有と改善サポート【具体的な説明】￣V￣￣￣￣￣￣￣￣￣￣￣リリース前のゲームやアプリを実際にプレイしながら、不自然な挙動やバグを見つけて報告するお仕事です。作業にはフォーマット化されたレポートツールを使用するため、未経験でも安心して始められます。根気強く物事をチェックするのが得意な方に向いています。レベルアップした後は…￣V￣￣￣￣￣￣￣￣￣￣￣ある程度の実務経験を積んでからはゲームづくりそのものに携わる業務を担っていくことも出来ます。たとえば…￣V￣￣￣￣￣￣￣￣￣￣￣￣□メニュー画面などUIの設計・実装□攻撃などのエフェクト制作□スコア計算などの処理開発□DBやサーバーとの連携業務などまたゲーム関連以外でもアプリケーションや基幹システム開発といったエンジニアの道もあります！あなたのスキル・経験に応じた最適な案件がご紹介出来ればと思います。＜開発環境・開発言語＞※一例Unity、UnrealEngine4・5Java、JavaScript、PHP、PerlC、C++、Ruby、Swift、Python「将来はエンジニアを目指したい」という方、ぜひご応募ください。,求めている人材□未経験者歓迎します□プログラミングが出来なくてもOKです◎第二新卒歓迎◎異業種からの転職歓迎◎初めての正社員も歓迎◎学歴不問◎ブランクOK□異業種からの転職者も活躍中です営業、接客、サービス業、製造、介護など
プログラミング知識なし エンジニア,兵庫県神戸市須磨区株式会社FULCODE,仕事内容:【仕事内容】〜〜〜〜〜〜〜〜〜〜〜〜システムの要件に基づいて、ネットワークやサーバー、データベースなどの基盤を設計する。ネットワーク機器の設定や管理を行い、データのスムーズな転送やセキュリティを確保する。サーバーのセットアップ、設定、監視、メンテナンスを行い、安定した運用を維持する。データのバックアップとリカバリ戦略を策定し、重要な情報を保護する。セキュリティ対策を実施し、ファイアウォールや侵入検知システムを設定してシステムを保護する。クラウドサービスを活用して、仮想環境やストレージを構築し、スケーラビリティを向上させる。システムの監視とトラブルシューティングを行い、障害の早期発見と対処を行う。〜〜〜〜〜〜〜〜〜〜〜〜《充実の3か月の研修制度》まずはしっかり研修を行います。完全未経験でも問題ございません。《これからの時代に必要とされるエンシ□ニアに・・・》世の中では新しいサーヒ□スか□と□んと□ん生まれているなかて□、その仕組みをつくる【フ□ロク□ラマー】か□足りていません。当社の研修を通し□てエンシ□ニアへデビューしています！,求める人材:【求める人材】・未経験・第二新卒・フ□ランクがある方・フリーターの方、歓迎します！・プログラマー未経験でも可能！派遣やアルバイト経験しかない方も正社員デビューを全力で応援します！前職では接客業や一般事務、人事、営業など幅広い職種から転職し現在活躍してくれています！将来的に状況次第で在宅での勤務(フルリモート)も可能に！★高卒以上★やる気さえあればご応募可能です！人柄重視で採用中！！
WEBシステム開発,福岡県福岡市博多区博多駅前2-1-1福岡朝日ビル5F株式会社アベールジャパン福岡支店,仕事内容福岡支店所属のITエンジニアとして、WEBシステム開発に従事していただきます。各種Webシステム・アプリケーション開発に携わっていただきます。《プロジェクト例》・IoT機器システム開発・クラウドIoTサービスシステム開発・ローコード開発・公共系システム開発・医療系パッケージシステム開発・スマホアプリ開発などなど《スキルイメージ》・OSWindows、Linux、UNIX、MacOS・言語Java、JavaScript、.NET系、PHP、PL/SQL、Python・DBOracleDB、MySQL、SQLServer、DB2、PostgreSQL・その他ERPパッケージ導入、RPA、Salesforce、Azure、Node.js、React、OutSystems等当社は業界、領域様々なプロジェクトを扱っております。最先端領域として、AIやIOT・RPA、ローコード開発やノーコード開発等そんなプロジェクトにチャレンジできる可能性も多くあります。システム開発経験のない方や少ない方でスキルを伸ばしたいと考えている方、いままで携わってきた領域ではない領域でチャレンジしていきたい方など皆さん大歓迎です。担当いただくプロジェクトや勤務場所やポジションは、エンジニアの方の希望を最大限考慮させて頂き配属いたします。《当社はエンジニアの希望・経験を最大限考慮！》ご希望のキャリアビジョンを一緒に考え実現してまいります！当社はIT・情報処理業界における総合エンジニアリング企業です。当社に在籍しているエンジニアは、多種多様なプロジェクトに携わり技術支援を行っております。・IT製品メーカー・Sier・システム開発会社・ITベンダー・エンドユーザ先事業所などキャリアパス相談・フォローアップ体制の仕組みを構築し、エンジニアとしての価値を最大化させる仕組み構築を提供してまいります！一貫した継続サポートでステップアップを提案/配属先での契約関連や交渉、お悩み、ご相談事項の対応など、就業始めから徹底してサポート致します。次の担当業務についての相談も継続サポートいたします。働きやすさ・希望のキャリアパスを実現いたします。職種web/オープンSEweb/オープンプログラマー人と企業の未来を見つめ、高度情報化社会にたゆまず貢献する高い技術力を発揮し「お客様に役立つ」＝「AVAIL」し、社会貢献することが設立からの変わらぬ想い。ソフトウェア、ハードウェア、通信、宇宙開発、電子、建築、土木、空調・衛生、電気、プラント、機械、半導体、自社ソリューション…。各業界の大手企業をビジネスパートナーに、多彩な分野で事業展開。総合エンジニアリング企業として業界をリードしてきています。「人が財産」だと捉え、人材、技術、努力、真心を向上させるべく、総合エンジニアリング企業として突き進み、これまでと変わることなく、社会に貢献する企業として成長し続けます。当社は総合エンジニアリング企業として、主に建設系（建築・土木・空調衛生設備・電気設備等の設計・施工管理）、他には移動体通信基地局の建設に伴う業務やソフトウェアの開発等、多岐の分野にわたり技術力を提供させて頂いております。弊社では技術はもちろん、『社会に貢献・・・お役に立つ』そして、『お客様に役立つ』を設立の理念に、これからも『人が財産』と考え、ハートフルな総合エンジニアリング企業として働き甲斐のある会社を目指しております。-【アベールジャパンはこんな会社です】※一部をご紹介-・全国に8拠点と開発センター2拠点構える総合エンジニアリング企業。・即日内定もあり！スピード選考です。・未経験者歓迎（経験ゼロからスタート出来ます）・充実の福利厚生。高い定着率が自慢です。,求めている人材【必須条件】ソフトウェア開発経験のある方（言語不問）【歓迎条件】システム開発の経験のある方プロジェクトリーダーとして活躍したい方【チャレンジ条件】IT・ソフトウェア業界に興味・関心がありチャレンジしたい挫折を経験しブランクはあるが再挑戦したい等積極的に応援・支援致します
ネットワークエンジニア/未経験可,愛知県名古屋市熱田区techMASTER株式会社,仕事内容:━━━━━━━━━━━━━━━━タイピングができない？プログラミングって何？『やったことない、分からない』でも大丈夫！弊社は異業種・異業界の方でも活躍しています！例えば…？飲食業・美容師・営業・製造などなど□★抜群の研修制度でIT業界デビューを目指そう！「興味はあるけど、経験がないから不安…」そんなあなたを大歓迎！学歴・職歴・スキル、一切不問です！━━━━━━━━━━━━━━━━未経験者を手厚くサポートします//【STEP1】まずは研修から始めましょう！・タイピング研修・IT業界基礎研修「ITって何？」「言語って」という基礎から丁寧に解説！【STEP2】基礎スキル習得研修！・言語研修やネットワーク・サーバー研修を行います。一流のスキルを身につけましょう！現役エンジニアの専任講師がわかりやすく教えてくれますので、ご安心ください！・Java、JavaScript、PHP研修・C、C++、C♯研修・Ruby、Swift、Python研修・CCNA、LinuxLPIC研修【STEP3】OJTを通して着実にスキルアップ！研修後は、先輩と一緒に案件へ♪早速研修の内容を活かして、エンジニアデビュー！同じ未経験からデビューした先輩エンジニアと分からないことを一緒に解決していきましょう！,求める人材:【求める人物像】高校卒以上/未経験OK・未経験OK（人柄重視）※フリーターの方も大歓迎！
未経験者向け研修あり!システムエンジニア,東京都目黒区下目黒株式会社LIM,仕事内容:【仕事内容】◎未経験スタートを全力サポート◎◆◇意欲が採用のカギ◇◆技術よりも「やってみたい」という気持ちを重視。ゼロから挑戦したい方を歓迎します。▽▼多彩な経歴の先輩たち▼▽営業職・事務・接客業・整体師など、異業種から飛び込んだ仲間が多数活躍中！◎第二新卒・既卒・ブランクありも大丈夫◎「もう一度、新しく始めたい」そんな方にぴったりの環境があります。━━━━━━━━━━━━━━━【研修から実務へのステップ】━━━━━━━━━━━━━━━◆最初は基礎からスタート◆未経験者向けの研修プログラムを用意しているため、知識ゼロでも安心して取り組めます。▼STEP1：基本操作とタイピング練習パソコンの使い方に不安がある方もOK。入力練習から丁寧にレクチャーします。▼STEP2：プログラミングの入門講座Javaを中心に、コードの書き方や仕組みを学習。現場経験のある講師が一つひとつ指導します。▼STEP3：Webシステム開発の実践演習教材を使いながら、実際の開発プロセスを体験。わからないところはその場で解消できる環境です。▼STEP4：テスト工程まで一通り習得開発したシステムのテストも自分で行い、品質チェックの技術も身につけます。◆配属後も手厚いサポートを継続◆専任のエンジニアが日常業務をしっかりサポート。「わからない」が放置されることはありません。◆仲間と学べる風土も魅力◆月に1度の社内ミーティングや、勉強会などを開催。交流を深めながら、一緒にステップアップできます。,求める人材:【求める人物像】□□高卒以上/IT業界未経験歓迎□□未経験OK※第二新卒・フリーターの方も大歓迎！アピールポイント□□自慢のサポート体制！「挫折させない」徹底サポートあり！
社内システムエンジニア,東京都台東区根岸東京都台東区根岸2-19-19医療法人社団せいおう会,募集要項職種社内システムエンジニア雇用形態正社員仕事内容社内システムの運用・保守新規システムの導入・設計・開発ネットワークの設計・構築・管理社内ユーザーからの問い合わせ対応セキュリティ対策の実施・管理,資格・経験＜必須スキル＞下記３つのうち、最低でもいずれかひとつ1.クラウドサービス「Web、アプリ、オープン系」の開発経験3年以上2.業務アプリ「.NET/SQLServer」設計、開発経験3年以上3.システム基盤(サーバ・ネットワーク)の構築・運用経験3年以上＜歓迎スキル＞・ネットワークの設計、構築、運用経験・セキュリティに関する知見
ゲーム・アプリ開発　【未経験】”完全人柄採用”,東京都品川区北品川駅株式会社Education,"仕事内容:〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【給与】月給24〜30万円※経験とスキルに応じて決定致します。●平均想定年収例：330〜380万円〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【勤務時間】10:00〜19:00(実働8h)※サービス残業は一切無し！〇案件(配属)によってはリモートワークも可能〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【休日休暇】完全週休2日制年間休日120日以上祝日、慶弔休暇、年末年始、夏季休暇〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【福利厚生】〇賞与年2回（夏／冬)〇昇給有〇社会保険完備〇交通費支給〇社保完備〇育児・介護休暇(実績あり)〇看護休暇(実績あり)〇資格取得支援・手当あり※研修3か月（月給22万円〜）〇寮・社宅・住宅手当有└(引っ越し補助)※規定はありますがまずはご相談ください。〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【応募資格】〇高校卒業以上〇未経験歓迎└人柄重視の採用です！〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【仕事内容】ゲームや、サーバーに興味がある方必見！まずは研修を通して「あなたの希望に合うお仕事」を一緒に考えていきましょう！【具体的に触れる内容は？】・テスト業務・コーディング・開発、設計業務・ゲーム、アプリ開発等お任せするお仕事は多岐にわたりますが一通りの知識を研修で、身に着けられることが出来ます。ポテンシャル採用なので、これまでの実務経験は問いません。実践を通して、経験値を積んでください！〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【こんな方にピッタリ】・需要の高い仕事を始めたい方・未経験のシステムの分野にも興味を持って取り組める方・学び続ける意欲がある方・IT業界に関心がある方・未経験からエンジニアに挑戦したい意欲がある方〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【研修制度】まずは入社後に約1か月程度のエンジニア研修を受けていただき、研修後はスキルに合わせてプロジェクトに配属となります。【こんな方が活躍中】〇20代〜30代活躍中〇ITエンジニア未経験〇プログラマー未経験〇ゲーム未経験〇ネットワークエンジニア〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【会社概要】●社名：株式会社Education（エデュケーション）●住所：〒153-0064東京都目黒区下目黒２丁目２３−２９PASEO目黒102〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【スタッフインタビュー】福利厚生や、働きやすさを意識して仕事探しをしていました。上京するにあたっての引っ越し手当や勤務時間も時差出勤を選択することが出来たので自分らしく働くことが出来ています！元々、パソコンゲームが趣味だったのでコツコツ黙々と仕事を覚えることできます。先輩が1から教えてくれるので、分からないことはいつでも、何でも聞ける環境です◎（男性・20代／前職：サービス業）〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【応募方法】[Indeedからの応募…簡単応募ボタンをClick！］〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【その他】※オンライン面接可/ご質問だけでも◎その他、全国各地に募集が有りますのでご案内可能。※転勤の可能性もありますが勤務地は出来る限り考慮します！〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜・〜【応募後の流れ】[STEP1]応募｢Indeed簡単応募｣で応募を確認後､こちらから折返しのご連絡をいたします｡[STEP4]面接WEB面接可能◎リラックスしてお話ししましょう！学歴や志望動機だけでなく､ぜひ""あなた""を見せてくださいね｡[STEP]内定これからよろしくお願いします！※入社日･勤務開始日のご相談も随時承ります。", 
【経験者/未経験者採用】プログラマー・システムエンジニア,東京都千代田区神田神保町株式会社イーグロース,仕事内容:【仕事内容】さまざまな業界向けシステム開発やアプリ開発など多岐にわたり案件を用意しています！JAVA、PHP、C、Javascript、Rubyなど、あなたの使える言語でを決めていお仕事先を決めていきます。お客様は、官公庁や旅行系、物流、建築など、取引のある業界は多数！あなたの経験や興味のある業界をお伺いしています！『要件定義』などの“上流□程”から担当する案件も！幅広い実践経験を積みながら、スキルやキャリアをさらに伸ばしていける環境を用意しています。＜エンジニアとして成長できる環境があります！＞学生時代のプログラミングのご経験がある方第二新卒などの駆け出しエンジニアさんエンジニアとしてキャリアアップしたい方など若手エンジニアを応援します！研修制度・サポート体制もバッチリです！大手企業とのパートナーシップを築き、DX、リスキリング、AIなど、進化し続けるIT環境をサポートしています。【未経験者向け研修期間中の流れ】9時30分･･･朝礼(タスク確認）、座学の準備10時30分･･･講師による座学（Java)12時30分･･･昼食休憩13時30分･･･講師による座学続き（Java)14時30分･･･OJT（動作テストなどへの参加）18時30分･･･退社※研修期間終了後はクライアントのプロジェクトへ参画//////////////////////////////////////////////////////////////////////////////////////【株式会社イーグロースとは？】（https://www.egrowth-inc.com/hp/）現役のセキュリティエンジニアが代表を務めるIT会社です。業界の5％程度しかいないとされる貴重なセキュリティエンジニアが多く存在する企業となっています。元請けの立ち位置として、参画するケースも多いため、PMやPLの位置としての参画や、0⇒1にするような仕事もあります。海外展開も視野に入れているため、海外でエンジニアとして活躍したい方など、夢をかなえるための最短距離を目指すことが可能です！/////////////////////////////////////////////////////////////////////////////////////////,"求める人材:【歓迎要件】・24・25新卒、第二新卒歓迎（既卒歓迎）・業界未経験OK・学歴不問（高卒OK）・好奇心旺盛で興味があることを深堀りできる方・ゼロから自分でロジックを立てて物事を進められる方・JavaのBronzeまたはSilver取得者歓迎・駆け出しエンジニア・前職エンジニア・プログラマーの方・ブランクある方も歓迎・ハローワークでお仕事お探し中の方も歓迎・外国籍の方も活躍できる環境が整っています。※業務には日本語の理解が必要なため、日本語能力試験（N1）以上の資格を持ち、英語が話せる方を歓迎します。※SincethejobrequiresanunderstandingofJapanese,wewelcomecandidateswhohaveaJapanese-LanguageProficiencyTest(JLPT)N1orhigherqualificationandcanspeakEnglish.【以下のような方にもおすすめです！】・情報感度の高い方/WEB3.0に興味がある方・コーディングやプログラミングに興味がある方・Javascript、Node.js、CMS、HTML、CSSなどに興味がある方・将来的にSE(システムエンジニア)になりたい方・ITエンジニア、バックエンドエンジニア、フロントエンドエンジニアに興味がある方・IT業界未経験でもコミュニケーション能力を活かして仕事を進められる方・ITコンサルタント、PM、PLなどに興味がある方・元々ゲームプログラマーやweb制作、WEBアプリケーションに興味があった方・SalesforceやAWSに対して関心ある方やってみたい理由は人それぞれなので、そこにあなたの熱意があれば、弊社はあなたのキャリアの道を全力で応援します！"
社内SE　自社業務システムに関する開発業務,東京都文京区小石川１４−１２共同印刷本社,仕事内容〇社内SEとして自社の業務システムの開発業務を行っていただきます。開発の上流から下流まで自身の経験や知識、興味に合わせ幅広く担当するポジションです。具体的には、・新規システム開発の要件定義・設計・自社開発時の設計・開発・テスト・社外開発時のベンダーとの折衝・製造部門で導入する他社ツールとの連携機能開発・社内業務を効率化するためのサービスの導入・社内業務システム保守など〇実施プロジェクトの例・見積受注システムの開発（VB.NET/WindowsForms）・ワークフローシステムの再構築（C#/ASP.net)・製造工程向けシステムの再構築（C#/ASP.netCoreMVC/SVF）〇仕事のやりがいについて・クライアントかつエンドユーザである社員から直接要望をヒアリングし、ユーザの業務効率化に最大限貢献できるようなシステムの提案・設計を行うことができます。・開発工程では、外部SIerに依頼するだけでなく、自社開発を行うこともありますので、プログラミングの知識を深めることもできます。〇諸手当も充実、プライベートも大切に年間休日は127日。オンとオフをしっかり分けて働ける職場です通勤交通費・家族手当・退職金制度他、各種施設の優待利用ができる総合福利厚生サービスも設けており、安心して働いていただけます〇総合印刷会社として、お客様のあらゆるニーズにお応えしております印刷事業を核に、IC事業の推進、ビジネスフォーム事業、出版事業、プロモーション事業、パッケージ事業など幅広く展開しています「価値創造・成長・挑戦」することを忘れず、お客様に品質の高いサービスを提供しています2022年４月に新社屋が完成し、新しいオフィスで仕事ができます,"資格""大学卒業以上"",""大学院卒業以上"",""経験者歓迎"""
